date,day,holiday,holiday_type
2018-01-01,Monday,New Year's Day (R),Restricted
2018-01-14,Sunday,Makar Sankranti (R),Restricted
2018-01-22,Monday,Basant Panchami / Sri Panchami (R),Restricted
2018-01-26,Friday,Republic Day (G),Gazetted
2018-01-31,Wednesday,Guru Ravidas's Birthday (R),Restricted
2018-02-10,Saturday,Swami Dayananda Saraswati Jayanti (R),Restricted
2018-02-14,Wednesday,Maha Shivaratri (G),Gazetted
2018-02-19,Monday,Shivaji Jayanti (R),Restricted
2018-03-01,Thursday,Holika Dahan/Dolyatra (R),Restricted
2018-03-02,Friday,Holi (G),Gazetted
2018-03-18,Sunday,Chaitra Sukladi/Gudi Padava/Ugadi/Cheti Chand (R),Restricted
2018-03-25,Sunday,Ram Navami (R),Restricted
2018-03-29,Thursday,Mahavir Jayanti (G),Gazetted
2018-03-30,Friday,Good Friday (G),Gazetted
2018-04-01,Sunday,Easter Sunday (R),Restricted
2018-04-14,Saturday,Vaisakhi/Vishu/Mesadi (R),Restricted
2018-04-15,Sunday,Vaisakhadi(Bengal)/Bahag Bihu (Assam) (R),Restricted
2018-04-30,Monday,Buddha Purnima (G),Gazetted
2018-05-09,Wednesday,Guru Rabindranath's Birthday (R),Restricted
2018-06-15,Friday,Jamat-Ul-Vida (R),Restricted
2018-06-16,Saturday,Idu'l Fitr (G),Gazetted
2018-07-14,Saturday,Rath Yatra (R),Restricted
2018-08-15,Wednesday,Independence day (G),Gazetted
2018-08-17,Friday,Parsi New Year's day/Nauraj (R),Restricted
2018-08-22,Wednesday,Id-ul-Zuha (Bakrid) (G),Gazetted
2018-08-25,Saturday,Onam or Thiru Onam Day (R),Restricted
2018-08-26,Sunday,Raksha Bandhan (R),Restricted
2018-09-03,Monday,Janmashtami (G),Gazetted
2018-09-13,Thursday,Vinayaka Chaturthi/Ganesh Chaturthi (R),Restricted
2018-09-21,Friday,Muharram (G),Gazetted
2018-10-02,Tuesday,Mahatma Gandhi's Birthday (G),Gazetted
2018-10-16,Tuesday,Dussehra (Maha Saptami) (Additional) (R),Restricted
2018-10-17,Wednesday,Dussehra (Maha Ashtami) (Additional) (R),Restricted
2018-10-18,Thursday,Dussehra (Maha Navmi) (R),Restricted
2018-10-19,Friday,Dussehra (G),Gazetted
2018-10-24,Wednesday,Maharishi Valmiki's Birthday (R),Restricted
2018-10-27,Saturday,Karaka Chaturthi (Karva Chouth) (R),Restricted
2018-11-06,Tuesday,Deepavali (South India) (R),Restricted
2018-11-07,Wednesday,Diwali (Deepavali) (G),Gazetted
2018-11-08,Thursday,Govardhan Puja (R),Restricted
2018-11-09,Friday,Bhai Duj (R),Restricted
2018-11-13,Tuesday,Pratihar Sashthi or Surya Sashthi (Chhat Puja) (R),Restricted
2018-11-21,Wednesday,Milad-un-Nabi or Id-e-Milad (Birthday of Prophet Mohammad) (G),Gazetted
2018-11-23,Friday,Gur'u Nanak's Birthday (G),Gazetted
2018-11-24,Saturday,Guru Teg Bahadur's Martyrdom Day (R),Restricted
2018-12-24,Monday,Christmas Eve (R),Restricted
2018-12-25,Tuesday,Christmas Day (G),Gazetted
